진료년도,주상병코드,성별,환자수(명),청구건수(건),요양급여비용(원),보험자부담금(원)
2013,C45,남,187 ,2461 ,1978010460 ,1852452020 
2013,C45,여,117 ,1523 ,1332198920 ,1244771370 
2013,C46,남,212 ,1956 ,547233950 ,510824190 
2013,C46,여,89 ,423 ,153710770 ,135828180 
2013,C47,남,226 ,2096 ,884184670 ,827567320 
2013,C47,여,230 ,1966 ,882905000 ,813879860 
2013,C48,남,605 ,4767 ,2436140640 ,2263105690 
2013,C48,여,1209 ,10920 ,6703012180 ,6245795370 
2013,C49,남,2896 ,31685 ,11672527190 ,10878194840 
2013,C49,여,2580 ,26079 ,10301224330 ,9572797340 
2013,C50,남,439 ,3979 ,1127675600 ,1043676930 
2013,C50,여,122143 ,1613818 ,449650534070 ,415673171990 
2013,C51,여,486 ,4345 ,1294181170 ,1191008450 
2013,C52,여,336 ,3454 ,973785040 ,901940140 
2013,C53,여,26811 ,241664 ,71423564280 ,65831357520 
2013,C54,여,11515 ,91397 ,27460991670 ,25408173680 
2013,C55,여,1211 ,7872 ,2866686970 ,2629006150 
2013,C56,여,14286 ,146873 ,71879172200 ,66574145700 
2013,C57,여,872 ,5535 ,2249784320 ,2069394840 
2013,C58,여,376 ,2927 ,745730920 ,687676810 
2013,C60,남,235 ,1654 ,593680080 ,544565330 
2013,C61,남,53149 ,442646 ,112437038320 ,104606913060 
2013,C62,남,1630 ,10081 ,2604281060 ,2379803880 
2013,C62,여,1 ,2 ,267180 ,253980 
2013,C63,남,182 ,866 ,237147150 ,214752390 
2013,C64,남,14353 ,87082 ,32125381170 ,29603468240 
2013,C64,여,6607 ,34948 ,12971125140 ,11847932000 
2013,C65,남,1649 ,11811 ,4391816720 ,4055334090 
2013,C65,여,685 ,4872 ,2132035180 ,1961805120 
2013,C66,남,1611 ,13681 ,5238454420 ,4860189170 
2013,C66,여,793 ,6144 ,2774968330 ,2557833670 
2013,C67,남,20877 ,168832 ,45773235810 ,42019050100 
2013,C67,여,4580 ,34453 ,10465283110 ,9500746030 
2013,C68,남,175 ,750 ,217686250 ,198523930 
2013,C68,여,137 ,928 ,425314720 ,384355990 
2013,C69,남,636 ,5996 ,1384035490 ,1276649760 
2013,C69,여,594 ,5282 ,1180742990 ,1081163460 
2013,C70,남,245 ,1664 ,1083194630 ,1006074480 
2013,C70,여,401 ,2673 ,1329190670 ,1197745920 
2013,C71,남,5234 ,63199 ,36060658350 ,33445371530 
2013,C71,여,4768 ,51894 ,32573107040 ,29979263450 
2013,C72,남,652 ,4318 ,1639099050 ,1489573230 
2013,C72,여,679 ,5220 ,2123651530 ,1933007210 
2013,C73,남,45880 ,253192 ,46983536400 ,43016413840 
2013,C73,여,234544 ,1240338 ,197856139400 ,179055306720 
2013,C74,남,580 ,7759 ,3829226430 ,3590182420 
2013,C74,여,529 ,7004 ,3103235270 ,2900308810 
2013,C75,남,440 ,3260 ,1360304300 ,1249378790 
2013,C75,여,408 ,1888 ,777723050 ,713523010 
2013,C76,남,768 ,5361 ,1901336510 ,1759896910 
2013,C76,여,654 ,3871 ,1423832670 ,1311136360 
2013,C77,남,1987 ,10255 ,3487543070 ,3242317780 
2013,C77,여,2372 ,10137 ,3241959980 ,3000434160 
2013,C78,남,6258 ,23759 ,16116791160 ,15045575200 
2013,C78,여,5376 ,22113 ,14462662680 ,13414774790 
2013,C79,남,5969 ,29939 ,22331166640 ,20860136050 
2013,C79,여,5799 ,31055 ,19745747970 ,18396569670 
2013,C80,남,2194 ,12386 ,5852047490 ,5416581510 
2013,C80,여,1697 ,8665 ,3801813950 ,3489625520 
2013,C81,남,1136 ,12086 ,5148555050 ,4791969080 
2013,C81,여,689 ,6448 ,2866209920 ,2662574620 
2013,C82,남,662 ,6087 ,3694717320 ,3471962990 
2013,C82,여,551 ,4956 ,2948547280 ,2767187190 
2013,C83,남,5287 ,54481 ,47367643060 ,44456006890 
2013,C83,여,3834 ,39332 ,32520030850 ,30445373700 
2013,C84,남,1005 ,14891 ,7937550950 ,7438072650 
2013,C84,여,682 ,9683 ,5238501190 ,4908646400 
2013,C85,남,5302 ,39164 ,19873274980 ,18459909510 
2013,C85,여,4529 ,32726 ,14466771760 ,13365830600 
