진료년도,암상병코드,환자수(명),청구건수(건),요양급여비용(원)
2016,C62,1953 ,11468 ,3600509510 
2016,C63,216 ,959 ,364887730 
2016,C64,26077 ,149946 ,60057426160 
2016,C65,2906 ,20122 ,8980051160 
2016,C66,2879 ,23167 ,11544758250 
2016,C67,30528 ,236440 ,82784162050 
2016,C68,388 ,2680 ,1163644220 
2016,C69,1260 ,11067 ,3310848960 
2016,C70,697 ,4724 ,4040625690 
2016,C71,10861 ,126774 ,91563726470 
2016,C73,329940 ,1394427 ,192445012680 
2016,C74,1215 ,13528 ,7536028600 
2016,C75,883 ,6243 ,2983570580 
2016,C76,1655 ,10799 ,4560471960 
2016,C77,8393 ,30103 ,22914552050 
2016,C78,13603 ,54274 ,46200279040 
2016,C79,15347 ,77934 ,65972370320 
2016,C80,4548 ,23485 ,13318381300 
2016,C81,1957 ,19360 ,9946236680 
2016,C82,1721 ,16272 ,10956839660 
2016,C83,11634 ,116785 ,116991291280 
2016,C84,1969 ,29222 ,17602304590 
2016,C85,10240 ,66377 ,36137024540 
2016,C88,4561 ,32707 ,9585578060 
2016,C90,6657 ,122807 ,120770742180 
2016,C91,5882 ,82947 ,71514214420 
2016,C92,12015 ,126998 ,154257824660 
2016,C93,438 ,5475 ,7219791540 
2016,C94,596 ,4598 ,4961177850 
2016,C95,1917 ,11409 ,13796918430 
2016,C96,1595 ,10510 ,3671720680 
2016,C97,206 ,494 ,968804390 
2016,D00,3926 ,13337 ,3381249270 
2016,D01,16683 ,51733 ,11558805110 
2016,D02,767 ,3646 ,1179494480 
2016,D03,693 ,2414 ,372355850 
2016,D04,2615 ,10270 ,1503754940 
2016,D05,25474 ,191322 ,44203702970 
2016,D06,32749 ,116229 ,14033005990 
2016,D07,1770 ,6305 ,1115600110 
2016,D09,3576 ,15898 ,4106692360 
2016,D32,22178 ,85054 ,49875335560 
2016,D33,18063 ,70955 ,31340058530 
2016,D37,34039 ,85725 ,25117786110 
2016,D38,13029 ,20316 ,5319545820 
2016,D39,11452 ,31400 ,6846144750 
2016,D40,856 ,2122 ,309422940 
2016,D41,4850 ,10030 ,2808899780 
2016,D42,1792 ,7351 ,5040015940 
2016,D43,8825 ,33600 ,18090601230 
2016,D44,15808 ,35398 ,8621771320 
2016,D45,3118 ,19175 ,2393552500 
2016,D46,4772 ,68624 ,55456175740 
2016,D47,9462 ,57521 ,18454200170 
2016,D48,15872 ,37845 ,10550220150 
2017,C00,275 ,1550 ,647737110 
2017,C01,849 ,9721 ,4098903080 
2017,C02,3376 ,33716 ,14940170580 
2017,C03,739 ,6821 ,3123130800 
2017,C04,441 ,4537 ,2595917790 
2017,C05,717 ,6276 ,2453639660 
2017,C06,1909 ,19637 ,9250801330 
2017,C07,1969 ,19867 ,7798200290 
2017,C08,1467 ,14184 ,5055221590 
2017,C09,2725 ,35306 ,15371136890 
2017,C10,941 ,10088 ,4972521380 
2017,C11,3002 ,43201 ,16050419610 
2017,C12,431 ,5080 ,2605881720 
2017,C13,1593 ,24312 ,13699771970 
2017,C14,264 ,1453 ,619004320 
2017,C15,9382 ,123151 ,75919204850 
2017,C16,156077 ,1043662 ,467802228060 
2017,C17,3269 ,26630 ,15173800660 
2017,C18,85865 ,669267 ,392706304320 
2017,C19,16152 ,111256 ,69016987350 
2017,C20,50966 ,477372 ,247871783680 
2017,C21,1971 ,17376 ,7562971830 
2017,C22,70259 ,712560 ,493760322510 
2017,C23,7912 ,71268 ,50844315980 
2017,C24,14018 ,138781 ,113543093840 
2017,C25,17147 ,234954 ,173998764390 
2017,C26,1075 ,5464 ,1958088470 
2017,C30,1128 ,13452 ,5498236130 
2017,C31,1007 ,13875 ,5983586790 
2017,C32,7439 ,74644 ,29097989390 
2017,C33,225 ,1578 ,695851850 
2017,C34,83967 ,1006126 ,612057514550 
2017,C38,1057 ,7528 ,5250555730 
2017,C39,213 ,754 ,307548140 
2017,C40,1699 ,12405 ,8281122590 
2017,C41,3368 ,25320 ,16571540940 
2017,C43,3623 ,40185 ,14502617340 
2017,C44,14902 ,85573 ,23598429060 
2017,C45,419 ,5511 ,4655110280 
2017,C46,409 ,3364 ,738971270 
2017,C47,408 ,4509 ,2369999230 
2017,C48,2204 ,20801 ,14841775210 
2017,C49,7060 ,71169 ,35913250700 
2017,C50,168770 ,2081851 ,694942563000 
2017,C51,619 ,5933 ,2695170780 
2017,C52,412 ,4129 ,1878673760 
2017,C53,26427 ,237069 ,95751769100 
2017,C54,17196 ,129595 ,47334002330 
2017,C55,1528 ,12112 ,5567450800 
2017,C56,21740 ,199337 ,116267660420 
2017,C57,1410 ,11091 ,5725636340 
2017,C60,252 ,1478 ,717143090 
2017,C61,77064 ,607137 ,179749265090 
2017,C62,2033 ,11582 ,3607277980 
2017,C63,230 ,1007 ,469664650 
2017,C64,28476 ,163843 ,66999420690 
2017,C65,3135 ,22989 ,10774751720 
2017,C66,3215 ,27041 ,13284052200 
2017,C67,32399 ,253901 ,94208321370 
2017,C68,424 ,2847 ,1290121470 
2017,C69,1281 ,10515 ,2964868280 
2017,C70,697 ,4750 ,3397667750 
2017,C71,10953 ,132721 ,98251350400 
2017,C73,341108 ,1364702 ,201347893530 
2017,C74,1255 ,13150 ,7605235410 
2017,C75,856 ,6620 ,2670393120 
2017,C76,1710 ,10978 ,5222847830 
2017,C77,7951 ,32461 ,22983384490 
2017,C78,14048 ,57275 ,50377034830 
2017,C79,16527 ,84853 ,78186339220 
2017,C80,4768 ,25924 ,15721072860 
2017,C81,2018 ,19202 ,11686683100 
2017,C82,2107 ,20003 ,13014242890 
2017,C83,12391 ,124996 ,125782230030 
2017,C84,2090 ,29722 ,18554924770 
2017,C85,10179 ,60838 ,37273921380 
2017,C88,5235 ,37479 ,11039840650 
2017,C90,7107 ,130382 ,138815788830 
2017,C91,6081 ,85831 ,86594723720 
2017,C92,12742 ,135911 ,174901764430 
2017,C93,485 ,5292 ,7705157600 
2017,C94,583 ,3992 ,4290630210 
2017,C95,1864 ,11202 ,14186610490 
2017,C96,1650 ,10559 ,3522764500 
2017,C97,152 ,366 ,922135200 
2017,D00,4487 ,15150 ,4420823080 
2017,D01,18360 ,57230 ,15039345010 
2017,D02,834 ,4237 ,1268358590 
2017,D03,773 ,3140 ,497445210 
2017,D04,2780 ,11469 ,1639517700 
2017,D05,28739 ,206972 ,52430482600 
2017,D06,35166 ,125635 ,16952265530 
2017,D07,2296 ,8589 ,1646482700 
2017,D09,4201 ,19657 ,4874539820 
2017,D32,24660 ,95409 ,56712513400 
2017,D33,18362 ,71666 ,30840492290 
2017,D37,37394 ,94341 ,29275469200 
2017,D38,11802 ,19180 ,5260165270 
2017,D39,13013 ,33968 ,7829178650 
2017,D40,855 ,2085 ,279082740 
2017,D41,5528 ,11494 ,3268599550 
2017,D42,1965 ,9145 ,6554525640 
2017,D43,9288 ,35027 ,20194737620 
2017,D44,16111 ,37619 ,9214987900 
2017,D45,3389 ,20021 ,2711954110 
2017,D46,5255 ,75785 ,65147936080 
2017,D47,10503 ,62871 ,20701605570 
2017,D48,17063 ,40868 ,10620311560 
